lp.,nazwa naukowa,nazwa polska,kategoria,status
278,Dendrocopos major,dzięcioł duży,A,L
279,Dendrocopos syriacus,dzięcioł białoszyi,A,L
280,Dryobates minor,dzięciołek,A,L
281,Falco naumanni,pustułeczka,A,(l) Z
282,Falco tinnunculus,pustułka,A,L
283,Falco vespertinus,kobczyk,A,(l) P
284,Falco columbarius,drzemlik,A,P
285,Falco eleonorae,sokół skalny,A,z
286,Falco subbuteo,kobuz,A,L
287,Falco peregrinus,sokół wędrowny,A,l P
288,Falco biarmicus,raróg górski,A,z
289,Falco rusticolus,białozór,A,Z
290,Falco cherrug,raróg,A,l Z
291,Vireo olivaceus,wireonek czerwonooki,A,z
292,Oriolus oriolus,wilga,A,L
293,Lanius excubitor,srokosz,A,L
294,Lanius borealis,srokosz północny,A,z
295,Lanius minor,dzierzba czarnoczelna,A,l Z
296,Lanius senator,dzierzba rudogłowa,A,(l) Z
297,Lanius isabellinus,dzierzba pustynna,A,z
298,Lanius collurio,gąsiorek,A,L
299,Lanius phoenicuroides,dzierzba rdzawosterna,A,z
300,Pyrrhocorax graculus,wieszczek,A,(l) z
301,Perisoreus infaustus,sójka syberyjska,A,z
302,Garrulus glandarius,sójka,A,L
303,Pica pica,sroka,A,L
304,Nucifraga caryocatactes,orzechówka,A,L
305,Coloeus monedula,kawka,A,L
306,Corvus frugilegus,gawron,A,L
307,Corvus corax,kruk,A,L
308,Corvus corone,wrona,A,L
309,Remiz pendulinus,remiz,A,L
310,Cyanistes caeruleus,modraszka,A,L
311,Cyanistes cyanus,sikora lazurowa,A,Z
312,Parus major,bogatka,A,L
313,Periparus ater,sosnówka,A,L
314,Lophophanes cristatus,czubatka,A,L
315,Poecile palustris,sikora uboga,A,L
316,Poecile montanus,czarnogłówka,A,L
317,Panurus biarmicus,wąsatka,A,L
318,Lullula arborea,lerka,A,L
319,Alauda leucoptera,skowronek białoskrzydły,A,z
320,Alauda arvensis,skowronek,A,L
321,Galerida cristata,dzierlatka,A,L
322,Eremophila alpestris,górniczek,A,P
323,Calandrella brachydactyla,skowrończyk krótkopalcowy,A,Z
324,Melanocorypha bimaculata,kalandra dwuplamista,A,z
325,Melanocorypha yeltoniensis,kalandra czarna,A,z
326,Melanocorypha calandra,kalandra szara,A,z
327,Hippolais icterina,zaganiacz,A,L
328,Hippolais polyglotta,zaganiacz szczebiotliwy,A,z
329,Iduna rama,zaganiacz afgański,A,z
330,Iduna caligata,zaganiacz mały,A,Z
331,Iduna pallida,zaganiacz blady,A,z
332,Acrocephalus schoenobaenus,rokitniczka,A,L
333,Acrocephalus paludicola,wodniczka,A,L
334,Acrocephalus melanopogon,tamaryszka,A,Z
335,Acrocephalus agricola,trzcinniczek kaspijski,A,Z
336,Acrocephalus dumetorum,zaroślówka,A,l P
337,Acrocephalus palustris,łozówka,A,L
338,Acrocephalus scirpaceus,trzcinniczek,A,L
339,Acrocephalus arundinaceus,trzciniak,A,L
340,Helopsaltes certhiola,świerszczak melodyjny,A,z
341,Locustella fluviatilis,strumieniówka,A,L
342,Locustella luscinioides,brzęczka,A,L
343,Locustella naevia,świerszczak,A,L
344,Riparia riparia,brzegówka,A,L
345,Hirundo rustica,dymówka,A,L
346,Delichon urbicum,oknówka,A,L
347,Cecropis rufula,jaskółka śródziemnomorska,A,Z
348,Aegithalos caudatus,raniuszek,A,L
349,Cettia cetti,wierzbówka,A,z
350,Phylloscopus sibilatrix,świstunka leśna,A,L
351,Phylloscopus bonelli,świstunka górska,A,(l) Z
352,Phylloscopus inornatus,świstunka żółtawa,A,P
353,Phylloscopus humei,świstunka ałtajska,A,Z
354,Phylloscopus proregulus,świstunka złotawa,A,Z
355,Phylloscopus schwarzi,świstunka grubodzioba,A,Z
356,Phylloscopus fuscatus,świstunka brunatna,A,Z
357,Phylloscopus trochilus,piecuszek,A,L
358,Phylloscopus ibericus,świstunka iberyjska,A,l z
359,Phylloscopus collybita,pierwiosnek,A,L
360,Phylloscopus trochiloides,wójcik,A,l P
361,Phylloscopus borealis,świstunka północna,A,z
362,Sylvia borin,gajówka,A,L
363,Sylvia atricapilla,kapturka,A,L
364,Curruca nisoria,jarzębatka,A,L
365,Curruca curruca,piegża,A,L
366,Curruca mystacea,pokrzewka kaspijska,A,z
367,Curruca communis,cierniówka,A,L
368,Curruca melanocephala,pokrzewka aksamitna,A,z
369,Curruca iberiae,pokrzewka iberyjska,A,z
370,Curruca cantillans,pokrzewka wąsata,A,Z
371,Bombycilla garrulus,jemiołuszka,A,P
372,Regulus regulus,mysikrólik,A,L
373,Regulus ignicapilla,zniczek,A,L
374,Tichodroma muraria,pomurnik,A,l
375,Sitta europaea,kowalik,A,L
376,Certhia familiaris,pełzacz leśny,A,L
377,Certhia brachydactyla,pełzacz ogrodowy,A,L
378,Troglodytes troglodytes,strzyżyk,A,L
379,Sturnus unicolor,szpak jednobarwny,A,z
380,Sturnus vulgaris,szpak,A,L
381,Pastor roseus,pasterz,A,Z
382,Cinclus cinclus,pluszcz,A,L
383,Zoothera aurea,drozdoń tajgowy,A,Z
384,Geokichla sibirica,drozdaczek ciemny,A,Z
385,Turdus viscivorus,paszkot,A,L
386,Turdus philomelos,śpiewak,A,L
387,Turdus iliacus,droździk,A,L
388,Turdus merula,kos,A,L
389,Turdus pilaris,kwiczoł,A,L
390,Turdus torquatus,drozd obrożny,A,L
391,Turdus naumanni,drozd rdzawy,A,z
392,Turdus eunomus,drozd rdzawoskrzydły,A,z
393,Turdus ruficollis,drozd rdzawogardły,A,z
394,Turdus atrogularis,drozd czarnogardły,A,Z
395,Turdus obscurus,drozd oliwkowy,A,Z
396,Muscicapa striata,muchołówka szara,A,L
397,Erithacus rubecula,rudzik,A,L
398,Luscinia megarhynchos,słowik rdzawy,A,L
399,Luscinia luscinia,słowik szary,A,L
400,Luscinia svecica,podróżniczek,A,L
401,Larvivora sibilans,słowik syberyjski,A,z
402,Ficedula parva,muchołówka mała,A,L
403,Ficedula albicollis,muchołówka białoszyja,A,L
404,Ficedula hypoleuca,muchołówka żałobna,A,L
405,Tarsiger cyanurus,modraczek,A,Z
406,Phoenicurus ochruros,kopciuszek,A,L
407,Phoenicurus phoenicurus,pleszka,A,L
408,Monticola saxatilis,nagórnik,A,(l) Z
409,Saxicola rubetra,pokląskwa,A,L
410,Saxicola maurus,kląskawka syberyjska,A,z
411,Saxicola rubicola,kląskawka,A,L
412,Oenanthe deserti,białorzytka pustynna,A,z
413,Oenanthe hispanica,białorzytka rdzawa,A,z
414,Oenanthe pleschanka,białorzytka pstra,A,z
415,Oenanthe oenanthe,białorzytka,A,L
416,Oenanthe isabellina,białorzytka płowa,A,Z
417,Oenanthe leucopyga,białorzytka saharyjska,A,z
418,Prunella collaris,płochacz halny,A,L
419,Prunella atrogularis,płochacz czarnogardły,A,z
420,Prunella modularis,pokrzywnica,A,L
421,Prunella montanella,płochacz syberyjski,A,Z
422,Petronia petronia,wróbel skalny,B,(z)
423,Montifringilla nivalis,śnieżka,A,z
424,Passer montanus,mazurek,A,L
425,Passer domesticus,wróbel,A,L
426,Motacilla cinerea,pliszka górska,A,L
427,Motacilla flava,pliszka żółta,A,L
428,Motacilla citreola,pliszka cytrynowa,A,L P
429,Motacilla tschutschensis,pliszka syberyjska,A,z
430,Motacilla alba,pliszka siwa,A,L
431,Anthus godlewskii,świergotek stepowy,A,z
432,Anthus campestris,świergotek polny,A,L
433,Anthus richardi,świergotek szponiasty,A,Z
434,Anthus trivialis,świergotek drzewny,A,L
435,Anthus hodgsoni,świergotek tajgowy,A,Z
436,Anthus cervinus,świergotek rdzawogardły,A,P
437,Anthus pratensis,świergotek łąkowy,A,L
438,Anthus petrosus,świergotek nadmorski,A,P
439,Anthus spinoletta,siwerniak,A,L
440,Fringilla montifringilla,jer,A,P
441,Fringilla coelebs,zięba,A,L
442,Coccothraustes coccothraustes,grubodziób,A,L
443,Carpodacus erythrinus,dziwonia,A,L
444,Pinicola enucleator,łuskowiec,A,Z
445,Pyrrhula pyrrhula,gil,A,L
446,Bucanetes githagineus,gilak pustynny,A,z
447,Chloris chloris,dzwoniec,A,L
448,Linaria flavirostris,rzepołuch,A,P
449,Linaria cannabina,makolągwa,A,L
450,Acanthis flammea,czeczotka,A,l P
451,Loxia leucoptera,krzyżodziób modrzewiowy,A,Z
452,Loxia pytyopsittacus,krzyżodziób sosnowy,A,(l) Z
453,Loxia curvirostra,krzyżodziób świerkowy,A,L
454,Carduelis citrinella,osetnik,A,z
455,Carduelis carduelis,szczygieł,A,L
456,Serinus serinus,kulczyk,A,L
457,Spinus spinus,czyż,A,L
458,Plectrophenax nivalis,śnieguła,A,P
459,Calcarius lapponicus,poświerka,A,P
460,Emberiza schoeniclus,potrzos,A,L
461,Emberiza chrysophrys,trznadel złotobrewy,A,z
462,Emberiza aureola,trznadel złotawy,A,z
463,Emberiza pusilla,trznadelek,A,Z
464,Emberiza rustica,trznadel czubaty,A,Z
465,Emberiza spodocephala,trznadel szarogłowy,A,z
466,Emberiza melanocephala,trznadel czarnogłowy,A,Z
467,Emberiza bruniceps,trznadel rudogłowy,A,z
468,Emberiza calandra,potrzeszcz,A,L
469,Emberiza cia,głuszek,A,z
470,Emberiza hortulana,ortolan,A,L
471,Emberiza cirlus,cierlik,A,z
472,Emberiza leucocephalos,trznadel białogłowy,A,(l) z
473,Emberiza citrinella,trznadel,A,L
474,Junco hyemalis,junko,A,z
475,Passerculus sandwichensis,bagiennik żółtobrewy,A,z
